SampleID,Block,Time,Chamber,Fragmentation,Position,SampleControl,Notes,Date collected,Date analyzed,Temperature ( C) lab,Pressure (kPa) lab,_mol / ml,Calibration Date (most recent),C2H4 calibration slope,C2H2 Calibration slope,C2H2 Height,C2H2 Area,C2H2 _mol,C2H2 _mol (calc),_mol C2H2 / injection,C2H4 Height,C2H4 Area,C2H4 _mol,C2H4 _mol (calc),_mol C2H4 / injection,%C2H4 ml,%C2H4 ARA,Control,Blank,ARA (_mol/ml),ARA (_mol·m-2·d-1),ARA* (_mol/ml),ARA* (_mol·m-2·d-1)
12A-C,1,2,A,-,-,blank,Forgot to record TRH; guessing,,2010-10-26,23,105.5,42.867150,2010-09-21,265823000,319985600,13115219,115357037,0.360507,0.360507,0.360507,2760,23813,0.000090,0.000090,0.000090,0.000002,0.000249586,,0.000090,,,,
12A-1.0c,1,2,A,1,0,control,Forgot to record TRH; guessing,,2010-10-26,23,105.5,42.867150,2010-09-21,265823000,319985600,15094,155489,0.000486,0.000486,0.000486,3526,37837,0.000142,0.000142,0.000142,0.000003,0.226559313,,0.000090,,,,
12A-1.1c,1,2,A,1,1,control,Forgot to record TRH; guessing,,2010-10-26,23,105.5,42.867150,2010-09-21,265823000,319985600,2057,18721,0.000059,0.000059,0.000059,4653,80046,0.000301,0.000301,0.000301,0.000007,0.83731723,,0.000090,,,,
12A-1.0,1,2,A,1,0,Sample,Forgot to record TRH; guessing,,2010-10-26,23,105.5,42.867150,2010-09-21,265823000,319985600,32360184,287899860,0.899728,0.899728,0.899728,11379,102989,0.000387,0.000387,0.000387,0.000009,0.000430428,0.000142,0.000090,0.000155,12.9,0.000297,24.8
12A-1.1,1,2,A,1,1,Sample,Forgot to record TRH; guessing,,2010-10-26,23,105.5,42.867150,2010-09-21,265823000,319985600,27822466,251303837,0.785360,0.785360,0.785360,20276,194054,0.000730,0.000730,0.000730,0.000017,0.000928662,0.000301,0.000090,0.000339,28.3,0.000640,53.3
12A-1.N,1,2,A,1,N,Sample,Forgot to record TRH; guessing,,2010-10-26,23,105.5,42.867150,2010-09-21,265823000,319985600,30697541,275838659,0.862035,0.862035,0.862035,32033,315957,0.001189,0.001189,0.001189,0.000028,0.001376931,0.000222,0.000090,0.000878,73.1,0.001099,91.6
12A-1.E,1,2,A,1,E,Sample,Forgot to record TRH; guessing,,2010-10-26,23,105.5,42.867150,2010-09-21,265823000,319985600,24481856,222100521,0.694095,0.694095,0.694095,33751,336519,0.001266,0.001266,0.001266,0.000030,0.001820566,0.000222,0.000090,0.000955,79.5,0.001176,98.0
12A-2.0c,1,2,A,2,0,control,Forgot to record TRH; guessing,,2010-10-26,23,105.5,42.867150,2010-09-21,265823000,319985600,21096,296336,0.000926,0.000926,0.000926,4690,69618,0.000262,0.000262,0.000262,0.000006,0.220453514,,0.000090,,,,
12A-2.1c,1,2,A,2,1,control,Forgot to record TRH; guessing,,2010-10-26,23,105.5,42.867150,2010-09-21,265823000,319985600,3411,33792,0.000106,0.000106,0.000106,3791,44954,0.000169,0.000169,0.000169,0.000004,0.615587518,,0.000090,,,,
12A-2.0,1,2,A,2,0,Sample,Forgot to record TRH; guessing,,2010-10-26,23,105.5,42.867150,2010-09-21,265823000,319985600,43467035,395106533,1.234764,1.234763,1.234764,16096,148455,0.000558,0.000558,0.000558,0.000013,0.000452087,0.000262,0.000090,0.000206,17.2,0.000468,39.0
12A-2.1,1,2,A,2,1,Sample,Forgot to record TRH; guessing,,2010-10-26,23,105.5,42.867150,2010-09-21,265823000,319985600,39029194,357913976,1.118532,1.118532,1.118532,65776,671966,0.002528,0.002528,0.002528,0.000059,0.002254894,0.000169,0.000090,0.002269,189.1,0.002438,203.2
12A-2.S,1,2,A,2,S,Sample,Forgot to record TRH; guessing,,2010-10-26,23,105.5,42.867150,2010-09-21,265823000,319985600,38986502,352654242,1.102094,1.102094,1.102094,18911,177822,0.000669,0.000669,0.000669,0.000016,0.000606612,0.000216,0.000090,0.000364,30.3,0.000579,48.3
