Label,PatchID,Block,Time,Chamber,Fragmentation,Position,In,Out,Days,NO3,NH4,Total N,Notes
1,84A-1.O,8,4,A,1,O,2008-07-13,2009-08-18,401,0.211,0.489,0.699,
2,84A-2.O,8,4,A,2,O,2008-07-13,2009-08-18,401,0.241,2.196,2.436,
3,84A-3.O,8,4,A,3,O,2008-07-13,2009-08-18,401,0.220,0.655,0.875,
4,84A-4.O,8,4,A,4,O,2008-07-13,2009-08-18,401,0.261,0.587,0.848,
5,84B-1.O,8,4,B,1,O,2008-07-13,2009-08-18,401,0.225,2.148,2.374,
6,84B-2.O,8,4,B,2,O,2008-07-13,2009-08-18,401,0.202,0.659,0.860,
7,84B-3.O,8,4,B,3,O,2008-07-13,2009-08-18,401,0.394,1.281,1.675,
8,84B-4.O,8,4,B,4,O,2008-07-13,2009-08-18,401,0.280,1.179,1.459,
9,84C-1.O,8,4,C,1,O,2008-07-13,2009-08-18,401,0.207,0.580,0.787,
10,84C-2.O,8,4,C,2,O,2008-07-13,2009-08-18,401,0.190,0.483,0.673,
11,84C-3.O,8,4,C,3,O,2008-07-13,2009-08-18,401,0.184,0.300,0.484,
12,84C-4.O,8,4,C,4,O,2008-07-13,2009-08-18,401,0.203,0.255,0.458,
13,14A-1.O,1,4,A,1,O,2008-07-13,2009-08-16,399,0.185,0.444,0.629,
14,14A-2.O,1,4,A,2,O,2008-07-13,2009-08-16,399,0.193,1.245,1.439,
15,14A-3.O,1,4,A,3,O,2008-07-13,2009-08-16,399,0.193,1.082,1.276,
16,14A-4.O,1,4,A,4,O,2008-07-13,2009-08-16,399,0.205,0.908,1.113
17,24A-1.O,2,4,A,1,O,2008-07-13,2009-08-14,397,0.192,0.552,0.744
18,24A-2.O,2,4,A,2,O,2008-07-13,2009-08-14,397,0.211,0.495,0.706
19,24A-3.O,2,4,A,3,O,2008-07-13,2009-08-14,397,0.180,0.550,0.730
20,24A-4.O,2,4,A,4,O,2008-07-13,2009-08-14,397,0.196,2.712,2.908
21,34A-1.O,3,4,A,1,O,2008-07-15,2009-08-13,394,0.239,0.638,0.877
22,34A-2.O,3,4,A,2,O,2008-07-15,2009-08-13,394,0.256,0.629,0.885
23,34A-3.O,3,4,A,3,O,2008-07-15,2009-08-13,394,0.260,0.515,0.775
24,34A-4.O,3,4,A,4,O,2008-07-15,2009-08-13,394,0.256,0.591,0.848
25,44A-1.O,4,4,A,1,O,2008-07-15,2009-08-12,393,0.214,0.447,0.661
26,44A-2.O,4,4,A,2,O,2008-07-15,2009-08-12,393,0.207,0.296,0.503
27,44A-3.O,4,4,A,3,O,2008-07-15,2009-08-12,393,0.229,0.470,0.699
28,44A-4.O,4,4,A,4,O,2008-07-15,2009-08-12,393,0.253,0.691,0.944
29,54A-1.O,5,4,A,1,O,2008-07-16,2009-08-10,390,0.246,0.494,0.740
30,54A-2.O,5,4,A,2,O,2008-07-16,2009-08-10,390,0.204,0.405,0.609
31,54A-3.O,5,4,A,3,O,2008-07-16,2009-08-10,390,0.218,0.357,0.575
