"SampleID","Block","Time","Chamber","Frag","Pos","xE","yN"
"12C-4.I","1","2","C","4","I",642184.661511708,6074259.97951218
"12C-4.N","1","2","C","4","N",642184.661511708,6074260.20451218
"12C-4.W","1","2","C","4","W",642184.436511708,6074259.97951218
"22A-1.O","2","2","A","1","O",642182.74912353,6074274.47483713
"22A-1.I","2","2","A","1","I",642182.660735182,6074274.56322548
"22A-1.S","2","2","A","1","S",642182.660735182,6074274.47483713
"22A-1.E","2","2","A","1","E",642182.74912353,6074274.56322548
"22A-2.O","2","2","A","2","O",642182.817429356,6074275.08153131
"22A-2.I","2","2","A","2","I",642182.592429356,6074274.85653131
"22A-2.N","2","2","A","2","N",642182.592429356,6074275.08153131
"22A-2.E","2","2","A","2","E",642182.817429356,6074274.85653131
"22A-3.O","2","2","A","3","O",642182.142429356,6074275.08153131
"22A-3.I","2","2","A","3","I",642182.367429356,6074274.85653131
"22A-3.N","2","2","A","3","N",642182.367429356,6074275.08153131
"22A-3.W","2","2","A","3","W",642182.142429356,6074274.85653131
"22A-4.O","2","2","A","4","O",642182.142429356,6074274.40653131
"22A-4.I","2","2","A","4","I",642182.367429356,6074274.63153131
"22A-4.S","2","2","A","4","S",642182.367429356,6074274.40653131
"22A-4.W","2","2","A","4","W",642182.142429356,6074274.63153131
"22B-1.O","2","2","B","1","O",642178.526837051,6074274.36904256
"22B-1.I","2","2","B","1","I",642178.615225399,6074274.28065421
"22B-1.N","2","2","B","1","N",642178.615225399,6074274.36904256
"22B-1.W","2","2","B","1","W",642178.526837051,6074274.28065421
"22B-2.O","2","2","B","2","O",642179.133531225,6074274.43734839
"22B-2.I","2","2","B","2","I",642178.908531225,6074274.21234839
"22B-2.N","2","2","B","2","N",642178.908531225,6074274.43734839
"22B-2.E","2","2","B","2","E",642179.133531225,6074274.21234839
"22B-3.O","2","2","B","3","O",642179.133531225,6074273.76234839
"22B-3.I","2","2","B","3","I",642178.908531225,6074273.98734839
"22B-3.S","2","2","B","3","S",642178.908531225,6074273.76234839
"22B-3.E","2","2","B","3","E",642179.133531225,6074273.98734839
"22B-4.O","2","2","B","4","O",642178.458531225,6074273.76234839
"22B-4.I","2","2","B","4","I",642178.683531225,6074273.98734839
"22B-4.S","2","2","B","4","S",642178.683531225,6074273.76234839
"22B-4.W","2","2","B","4","W",642178.458531225,6074273.98734839
"22C-1.O","2","2","C","1","O",642179.33708588,6074272.35606295
"22C-1.I","2","2","C","1","I",642179.425474228,6074272.2676746
"22C-1.N","2","2","C","1","N",642179.425474228,6074272.35606295
"22C-1.W","2","2","C","1","W",642179.33708588,6074272.2676746
"22C-2.O","2","2","C","2","O",642179.268780054,6074271.74936877
"22C-2.I","2","2","C","2","I",642179.493780054,6074271.97436877
"22C-2.S","2","2","C","2","S",642179.493780054,6074271.74936877
"22C-2.W","2","2","C","2","W",642179.268780054,6074271.97436877
"22C-3.O","2","2","C","3","O",642179.943780054,6074272.42436877
"22C-3.I","2","2","C","3","I",642179.718780054,6074272.19936877
"22C-3.N","2","2","C","3","N",642179.718780054,6074272.42436877
"22C-3.E","2","2","C","3","E",642179.943780054,6074272.19936877
"22C-4.O","2","2","C","4","O",642179.943780054,6074271.74936877
"22C-4.I","2","2","C","4","I",642179.718780054,6074271.97436877
"22C-4.S","2","2","C","4","S",642179.718780054,6074271.74936877
"22C-4.E","2","2","C","4","E",642179.943780054,6074271.97436877
"32A-1.O","3","2","A","1","O",642172.3084235,6074281.66726106
"32A-1.I","3","2","A","1","I",642172.220035152,6074281.75564941
"32A-1.S","3","2","A","1","S",642172.220035152,6074281.66726106
"32A-1.E","3","2","A","1","E",642172.3084235,6074281.75564941
"32A-2.O","3","2","A","2","O",642171.701729326,6074282.27395524
"32A-2.I","3","2","A","2","I",642171.926729326,6074282.04895524
"32A-2.N","3","2","A","2","N",642171.926729326,6074282.27395524
"32A-2.W","3","2","A","2","W",642171.701729326,6074282.04895524
"32A-3.O","3","2","A","3","O",642172.376729326,6074282.27395524
"32A-3.I","3","2","A","3","I",642172.151729326,6074282.04895524
"32A-3.N","3","2","A","3","N",642172.151729326,6074282.27395524
"32A-3.E","3","2","A","3","E",642172.376729326,6074282.04895524
"32A-4.O","3","2","A","4","O",642171.701729326,6074281.59895524
"32A-4.I","3","2","A","4","I",642171.926729326,6074281.82395524
"32A-4.S","3","2","A","4","S",642171.926729326,6074281.59895524
"32A-4.W","3","2","A","4","W",642171.701729326,6074281.82395524
"32B-1.O","3","2","B","1","O",642170.123493735,6074282.52621607
"32B-1.I","3","2","B","1","I",642170.211882083,6074282.43782772
"32B-1.N","3","2","B","1","N",642170.211882083,6074282.52621607
"32B-1.W","3","2","B","1","W",642170.123493735,6074282.43782772
"32B-2.O","3","2","B","2","O",642170.055187909,6074281.9195219
"32B-2.I","3","2","B","2","I",642170.280187909,6074282.1445219
"32B-2.S","3","2","B","2","S",642170.280187909,6074281.9195219
"32B-2.W","3","2","B","2","W",642170.055187909,6074282.1445219
"32B-3.O","3","2","B","3","O",642170.730187909,6074281.9195219
"32B-3.I","3","2","B","3","I",642170.505187909,6074282.1445219
"32B-3.S","3","2","B","3","S",642170.505187909,6074281.9195219
"32B-3.E","3","2","B","3","E",642170.730187909,6074282.1445219
"32B-4.O","3","2","B","4","O",642170.730187909,6074282.5945219
"32B-4.I","3","2","B","4","I",642170.505187909,6074282.3695219
"32B-4.N","3","2","B","4","N",642170.505187909,6074282.5945219
"32B-4.E","3","2","B","4","E",642170.730187909,6074282.3695219
"32C-1.O","3","2","C","1","O",642171.544458209,6074283.81829091
"32C-1.I","3","2","C","1","I",642171.632846557,6074283.72990256
"32C-1.N","3","2","C","1","N",642171.632846557,6074283.81829091
"32C-1.W","3","2","C","1","W",642171.544458209,6074283.72990256
"32C-2.O","3","2","C","2","O",642171.476152383,6074283.21159674
"32C-2.I","3","2","C","2","I",642171.701152383,6074283.43659674
"32C-2.S","3","2","C","2","S",642171.701152383,6074283.21159674
"32C-2.W","3","2","C","2","W",642171.476152383,6074283.43659674
"32C-3.O","3","2","C","3","O",642172.151152383,6074283.21159674
"32C-3.I","3","2","C","3","I",642171.926152383,6074283.43659674
"32C-3.S","3","2","C","3","S",642171.926152383,6074283.21159674
"32C-3.E","3","2","C","3","E",642172.151152383,6074283.43659674
"32C-4.O","3","2","C","4","O",642172.151152383,6074283.88659674
"32C-4.I","3","2","C","4","I",642171.926152383,6074283.66159674
"32C-4.N","3","2","C","4","N",642171.926152383,6074283.88659674
"32C-4.E","3","2","C","4","E",642172.151152383,6074283.66159674
"42A-1.O","4","2","A","1","O",642176.729234042,6074292.91154163
"42A-1.I","4","2","A","1","I",642176.81762239,6074292.99992997
"42A-1.S","4","2","A","1","S",642176.81762239,6074292.91154163
"42A-1.W","4","2","A","1","W",642176.729234042,6074292.99992997
"42A-2.O","4","2","A","2","O",642177.335928216,6074292.8432358
"42A-2.I","4","2","A","2","I",642177.110928216,6074293.0682358
"42A-2.S","4","2","A","2","S",642177.110928216,6074292.8432358
"42A-2.E","4","2","A","2","E",642177.335928216,6074293.0682358
"42A-3.O","4","2","A","3","O",642176.660928216,6074293.5182358
"42A-3.I","4","2","A","3","I",642176.885928216,6074293.2932358
"42A-3.N","4","2","A","3","N",642176.885928216,6074293.5182358
"42A-3.W","4","2","A","3","W",642176.660928216,6074293.2932358
"42A-4.O","4","2","A","4","O",642177.335928216,6074293.5182358
"42A-4.I","4","2","A","4","I",642177.110928216,6074293.2932358
"42A-4.N","4","2","A","4","N",642177.110928216,6074293.5182358
"42A-4.E","4","2","A","4","E",642177.335928216,6074293.2932358
"42B-1.O","4","2","B","1","O",642181.020838134,6074291.0736758
"42B-1.I","4","2","B","1","I",642181.109226482,6074290.98528746
"42B-1.N","4","2","B","1","N",642181.109226482,6074291.0736758
"42B-1.W","4","2","B","1","W",642181.020838134,6074290.98528746
"42B-2.O","4","2","B","2","O",642180.952532308,6074290.46698163
"42B-2.I","4","2","B","2","I",642181.177532308,6074290.69198163
"42B-2.S","4","2","B","2","S",642181.177532308,6074290.46698163
"42B-2.W","4","2","B","2","W",642180.952532308,6074290.69198163
"42B-3.O","4","2","B","3","O",642181.627532308,6074291.14198163
"42B-3.I","4","2","B","3","I",642181.402532308,6074290.91698163
"42B-3.N","4","2","B","3","N",642181.402532308,6074291.14198163
"42B-3.E","4","2","B","3","E",642181.627532308,6074290.91698163
"42B-4.O","4","2","B","4","O",642181.627532308,6074290.46698163
"42B-4.I","4","2","B","4","I",642181.402532308,6074290.69198163
"42B-4.S","4","2","B","4","S",642181.402532308,6074290.46698163
"42B-4.E","4","2","B","4","E",642181.627532308,6074290.69198163
"42C-1.O","4","2","C","1","O",642183.499367012,6074290.23861058
"42C-1.I","4","2","C","1","I",642183.587755359,6074290.15022224
"42C-1.N","4","2","C","1","N",642183.587755359,6074290.23861058
"42C-1.W","4","2","C","1","W",642183.499367012,6074290.15022224
"42C-2.O","4","2","C","2","O",642184.106061185,6074289.63191641
"42C-2.I","4","2","C","2","I",642183.881061186,6074289.85691641
"42C-2.S","4","2","C","2","S",642183.881061186,6074289.63191641
"42C-2.E","4","2","C","2","E",642184.106061185,6074289.85691641
"42C-3.O","4","2","C","3","O",642183.431061185,6074289.63191641
"42C-3.I","4","2","C","3","I",642183.656061185,6074289.85691641
"42C-3.S","4","2","C","3","S",642183.656061185,6074289.63191641
"42C-3.W","4","2","C","3","W",642183.431061185,6074289.85691641
"42C-4.O","4","2","C","4","O",642184.106061185,6074290.30691641
"42C-4.I","4","2","C","4","I",642183.881061186,6074290.08191641
"42C-4.N","4","2","C","4","N",642183.881061186,6074290.30691641
"42C-4.E","4","2","C","4","E",642184.106061185,6074290.08191641
"52A-1.O","5","2","A","1","O",642170.540744171,6074303.12525686
"52A-1.I","5","2","A","1","I",642170.629132518,6074303.03686851
"52A-1.N","5","2","A","1","N",642170.629132518,6074303.12525686
"52A-1.W","5","2","A","1","W",642170.540744171,6074303.03686851
"52A-2.O","5","2","A","2","O",642170.472438344,6074302.51856268
"52A-2.I","5","2","A","2","I",642170.697438344,6074302.74356268
"52A-2.S","5","2","A","2","S",642170.697438344,6074302.51856268
"52A-2.W","5","2","A","2","W",642170.472438344,6074302.74356268
"52A-3.O","5","2","A","3","O",642171.147438345,6074302.51856268
"52A-3.I","5","2","A","3","I",642170.922438345,6074302.74356268
"52A-3.S","5","2","A","3","S",642170.922438345,6074302.51856268
"52A-3.E","5","2","A","3","E",642171.147438345,6074302.74356268
"52A-4.O","5","2","A","4","O",642171.147438345,6074303.19356268
"52A-4.I","5","2","A","4","I",642170.922438345,6074302.96856268
"52A-4.N","5","2","A","4","N",642170.922438345,6074303.19356268
"52A-4.E","5","2","A","4","E",642171.147438345,6074302.96856268
"52B-1.O","5","2","B","1","O",642170.45657244,6074305.18133558
"52B-1.I","5","2","B","1","I",642170.368184093,6074305.09294723
"52B-1.N","5","2","B","1","N",642170.368184093,6074305.18133558
"52B-1.E","5","2","B","1","E",642170.45657244,6074305.09294723
"52B-2.O","5","2","B","2","O",642169.849878267,6074305.24964141
"52B-2.I","5","2","B","2","I",642170.074878267,6074305.0246414
"52B-2.N","5","2","B","2","N",642170.074878267,6074305.24964141
"52B-2.W","5","2","B","2","W",642169.849878267,6074305.0246414
"52B-3.O","5","2","B","3","O",642170.524878267,6074304.57464141
"52B-3.I","5","2","B","3","I",642170.299878267,6074304.79964141
"52B-3.S","5","2","B","3","S",642170.299878267,6074304.57464141
"52B-3.E","5","2","B","3","E",642170.524878267,6074304.79964141
"52B-4.O","5","2","B","4","O",642169.849878267,6074304.57464141
"52B-4.I","5","2","B","4","I",642170.074878267,6074304.79964141
"52B-4.S","5","2","B","4","S",642170.074878267,6074304.57464141
"52B-4.W","5","2","B","4","W",642169.849878267,6074304.79964141
"52C-1.O","5","2","C","1","O",642169.379129998,6074306.50124882
"52C-1.I","5","2","C","1","I",642169.29074165,6074306.41286047
"52C-1.N","5","2","C","1","N",642169.29074165,6074306.50124882
"52C-1.E","5","2","C","1","E",642169.379129998,6074306.41286047
"52C-2.O","5","2","C","2","O",642168.772435824,6074305.89455464
"52C-2.I","5","2","C","2","I",642168.997435824,6074306.11955464
"52C-2.S","5","2","C","2","S",642168.997435824,6074305.89455464
"52C-2.W","5","2","C","2","W",642168.772435824,6074306.11955464
"52C-3.O","5","2","C","3","O",642169.447435824,6074305.89455464
"52C-3.I","5","2","C","3","I",642169.222435824,6074306.11955464
"52C-3.S","5","2","C","3","S",642169.222435824,6074305.89455464
"52C-3.E","5","2","C","3","E",642169.447435824,6074306.11955464
"52C-4.O","5","2","C","4","O",642168.772435824,6074306.56955464
"52C-4.I","5","2","C","4","I",642168.997435824,6074306.34455464
"52C-4.N","5","2","C","4","N",642168.997435824,6074306.56955464
"52C-4.W","5","2","C","4","W",642168.772435824,6074306.34455464
"62A-1.O","6","2","A","1","O",642187.752562581,6074373.7529666
"62A-1.I","6","2","A","1","I",642187.664174233,6074373.66457826
"62A-1.N","6","2","A","1","N",642187.664174233,6074373.7529666
"62A-1.E","6","2","A","1","E",642187.752562581,6074373.66457826
"62A-2.O","6","2","A","2","O",642187.145868407,6074373.82127243
"62A-2.I","6","2","A","2","I",642187.370868407,6074373.59627243
"62A-2.N","6","2","A","2","N",642187.370868407,6074373.82127243
"62A-2.W","6","2","A","2","W",642187.145868407,6074373.59627243
"62A-3.O","6","2","A","3","O",642187.145868407,6074373.14627243
"62A-3.I","6","2","A","3","I",642187.370868407,6074373.37127243
"62A-3.S","6","2","A","3","S",642187.370868407,6074373.14627243
"62A-3.W","6","2","A","3","W",642187.145868407,6074373.37127243
"62A-4.O","6","2","A","4","O",642187.820868407,6074373.14627243
"62A-4.I","6","2","A","4","I",642187.595868407,6074373.37127243
"62A-4.S","6","2","A","4","S",642187.595868407,6074373.14627243
"62A-4.E","6","2","A","4","E",642187.820868407,6074373.37127243
"62B-1.O","6","2","B","1","O",642184.86575899,6074371.34730858
"62B-1.I","6","2","B","1","I",642184.954147337,6074371.25892023
"62B-1.N","6","2","B","1","N",642184.954147337,6074371.34730858
"62B-1.W","6","2","B","1","W",642184.86575899,6074371.25892023
"62B-2.O","6","2","B","2","O",642184.797453163,6074370.7406144
"62B-2.I","6","2","B","2","I",642185.022453163,6074370.9656144
"62B-2.S","6","2","B","2","S",642185.022453163,6074370.7406144
"62B-2.W","6","2","B","2","W",642184.797453163,6074370.9656144
"62B-3.O","6","2","B","3","O",642185.472453163,6074371.4156144
"62B-3.I","6","2","B","3","I",642185.247453163,6074371.1906144
"62B-3.N","6","2","B","3","N",642185.247453163,6074371.4156144
"62B-3.E","6","2","B","3","E",642185.472453163,6074371.1906144
"62B-4.O","6","2","B","4","O",642185.472453163,6074370.7406144
"62B-4.I","6","2","B","4","I",642185.247453163,6074370.9656144
"62B-4.S","6","2","B","4","S",642185.247453163,6074370.7406144
"62B-4.E","6","2","B","4","E",642185.472453163,6074370.9656144
"62C-1.O","6","2","C","1","O",642186.100103497,6074372.87525292
"62C-1.I","6","2","C","1","I",642186.011715149,6074372.78686457
"62C-1.N","6","2","C","1","N",642186.011715149,6074372.87525292
"62C-1.E","6","2","C","1","E",642186.100103497,6074372.78686457
"62C-2.O","6","2","C","2","O",642185.493409323,6074372.26855875
"62C-2.I","6","2","C","2","I",642185.718409323,6074372.49355875
"62C-2.S","6","2","C","2","S",642185.718409323,6074372.26855875
"62C-2.W","6","2","C","2","W",642185.493409323,6074372.49355875
"62C-3.O","6","2","C","3","O",642185.493409323,6074372.94355875
"62C-3.I","6","2","C","3","I",642185.718409323,6074372.71855875
"62C-3.N","6","2","C","3","N",642185.718409323,6074372.94355875
"62C-3.W","6","2","C","3","W",642185.493409323,6074372.71855875
"62C-4.O","6","2","C","4","O",642186.168409323,6074372.26855875
"62C-4.I","6","2","C","4","I",642185.943409323,6074372.49355875
"62C-4.S","6","2","C","4","S",642185.943409323,6074372.26855875
"62C-4.E","6","2","C","4","E",642186.168409323,6074372.49355875
"72A-1.O","7","2","A","1","O",642115.730805826,6074205.73080583
"72A-1.I","7","2","A","1","I",642115.819194174,6074205.81919417
"72A-1.S","7","2","A","1","S",642115.819194174,6074205.73080583
"72A-1.W","7","2","A","1","W",642115.730805826,6074205.81919417
"72A-2.O","7","2","A","2","O",642116.3375,6074206.3375
"72A-2.I","7","2","A","2","I",642116.1125,6074206.1125
"72A-2.N","7","2","A","2","N",642116.1125,6074206.3375
"72A-2.E","7","2","A","2","E",642116.3375,6074206.1125
"72A-3.O","7","2","A","3","O",642116.3375,6074205.6625
"72A-3.I","7","2","A","3","I",642116.1125,6074205.8875
"72A-3.S","7","2","A","3","S",642116.1125,6074205.6625
"72A-3.E","7","2","A","3","E",642116.3375,6074205.8875
"72A-4.O","7","2","A","4","O",642115.6625,6074206.3375
"72A-4.I","7","2","A","4","I",642115.8875,6074206.1125
"72A-4.N","7","2","A","4","N",642115.8875,6074206.3375
"72A-4.W","7","2","A","4","W",642115.6625,6074206.1125
"72B-1.O","7","2","B","1","O",642122.731270685,6074205.39892375
"72B-1.I","7","2","B","1","I",642122.642882337,6074205.3105354
"72B-1.N","7","2","B","1","N",642122.642882337,6074205.39892375
"72B-1.E","7","2","B","1","E",642122.731270685,6074205.3105354
"72B-2.O","7","2","B","2","O",642122.799576511,6074204.79222958
"72B-2.I","7","2","B","2","I",642122.574576511,6074205.01722958
"72B-2.S","7","2","B","2","S",642122.574576511,6074204.79222958
"72B-2.E","7","2","B","2","E",642122.799576511,6074205.01722958
"72B-3.O","7","2","B","3","O",642122.124576511,6074204.79222958
"72B-3.I","7","2","B","3","I",642122.349576511,6074205.01722958
"72B-3.S","7","2","B","3","S",642122.349576511,6074204.79222958
"72B-3.W","7","2","B","3","W",642122.124576511,6074205.01722958
"72B-4.O","7","2","B","4","O",642122.124576511,6074205.46722958
"72B-4.I","7","2","B","4","I",642122.349576511,6074205.24222958
"72B-4.N","7","2","B","4","N",642122.349576511,6074205.46722958
"72B-4.W","7","2","B","4","W",642122.124576511,6074205.24222958
"72C-1.O","7","2","C","1","O",642120.512089094,6074205.23464228
"72C-1.I","7","2","C","1","I",642120.600477442,6074205.14625393
"72C-1.N","7","2","C","1","N",642120.600477442,6074205.23464228
"72C-1.W","7","2","C","1","W",642120.512089094,6074205.14625393
"72C-2.O","7","2","C","2","O",642121.118783268,6074205.30294811
"72C-2.I","7","2","C","2","I",642120.893783268,6074205.07794811
"72C-2.N","7","2","C","2","N",642120.893783268,6074205.30294811
"72C-2.E","7","2","C","2","E",642121.118783268,6074205.07794811
"72C-3.O","7","2","C","3","O",642120.443783268,6074204.62794811
"72C-3.I","7","2","C","3","I",642120.668783268,6074204.85294811
"72C-3.S","7","2","C","3","S",642120.668783268,6074204.62794811
"72C-3.W","7","2","C","3","W",642120.443783268,6074204.85294811
"72C-4.O","7","2","C","4","O",642121.118783268,6074204.62794811
"72C-4.I","7","2","C","4","I",642120.893783268,6074204.85294811
"72C-4.S","7","2","C","4","S",642120.893783268,6074204.62794811
"72C-4.E","7","2","C","4","E",642121.118783268,6074204.85294811
"82A-1.O","8","2","A","1","O",642117.978237049,6074300.94641116
"82A-1.I","8","2","A","1","I",642117.889848702,6074300.85802281
"82A-1.N","8","2","A","1","N",642117.889848702,6074300.94641116
"82A-1.E","8","2","A","1","E",642117.978237049,6074300.85802281
"82A-2.O","8","2","A","2","O",642118.046542875,6074300.33971698
"82A-2.I","8","2","A","2","I",642117.821542875,6074300.56471698
"82A-2.S","8","2","A","2","S",642117.821542875,6074300.33971698
"82A-2.E","8","2","A","2","E",642118.046542875,6074300.56471698
"82A-3.O","8","2","A","3","O",642117.371542875,6074301.01471698
